Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
0,Swift Dzire VDI,Maruti,2014,450000,145500,Diesel
1,Rapid 1.5 TDI Ambition,Skoda,2014,370000,120000,Diesel
2,City 2017-2020 EXi,Honda,2006,158000,140000,Petrol
3,i20 Sportz Diesel,Hyundai,2010,225000,127000,Diesel
4,Swift VXI BSIII,Maruti,2007,130000,120000,Petrol
5,Xcent 1.2 VTVT E Plus,Hyundai,2017,440000,45000,Petrol
6,Wagon R LXI DUO BSIII,Maruti,2007,96000,175000,LPG
7,800 DX BSII,Maruti,2001,45000,5000,Petrol
8,Etios VXD,Toyota,2011,350000,90000,Diesel
9,Figo Diesel Celebration Edition,Ford,2013,200000,169000,Diesel
10,Duster 110PS Diesel RxL,Renault,2014,500000,68000,Diesel
11,Zen LX,Maruti,2005,92000,100000,Petrol
12,Swift Dzire VDi,Maruti,2009,280000,140000,Diesel
13,Swift 1.3 VXi,Maruti,2007,200000,80000,Petrol
14,Wagon R LXI Minor,Maruti,2009,180000,90000,Petrol
15,KUV 100 mFALCON G80 K8 5str,Mahindra,2016,400000,40000,Petrol
16,Ertiga SHVS VDI,Maruti,2016,778000,70000,Diesel
17,i20 1.4 CRDi Asta,Hyundai,2012,500000,53000,Diesel
18,Alto LX,Maruti,2002,150000,80000,Petrol
19,i20 2015-2017 Asta 1.4 CRDi,Hyundai,2016,680000,100000,Diesel
20,Verito 1.5 D4 BSIII,Mahindra,2011,174000,100000,Diesel
21,WR-V i-DTEC VX,Honda,2017,950000,50000,Diesel
22,Swift Dzire ZDI,Maruti,2015,525000,40000,Diesel
23,SX4 ZDI,Maruti,2012,600000,72000,Diesel
24,Tigor 2017-2020 XZ,Tata,2018,500000,35000,Petrol
25,Baleno Delta 1.2,Maruti,2016,575000,45000,Petrol
26,Alto 800 LXI,Maruti,2017,275000,28000,Petrol
27,Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,300000,70000,Diesel
28,Wagon R LXI Minor,Maruti,2009,220000,120000,Petrol
29,Omni E MPI STD BS IV,Maruti,2018,254999,25000,Petrol
30,Vitara Brezza LDi Option,Maruti,2017,670000,70000,Diesel
31,Palio 1.2 ELX,Fiat,2003,70000,50000,Petrol
32,Omni 8 Seater BSIV,Maruti,2012,150000,35000,Petrol
33,i20 1.2 Asta Dual Tone,Hyundai,2018,730000,2388,Petrol
34,Vitara Brezza LDi,Maruti,2017,650000,16200,Diesel
35,Alto 800 CNG LXI Optional,Maruti,2019,330000,10000,CNG
36,Alto K10 VXI Airbag,Maruti,2019,366000,15000,Petrol
37,Verna VTVT 1.6 SX Option,Hyundai,2019,1149000,5000,Petrol
38,GO D,Datsun,2016,150000,42000,Petrol
39,Safari DICOR 2.2 LX 4x2,Tata,2011,425000,60000,Diesel
40,800 Std,Maruti,2012,150000,76000,Petrol
41,Compass 1.4 Limited Plus BSIV,Jeep,2019,2100000,5000,Petrol
42,City i VTEC VX,Honda,2018,925000,28900,Petrol
43,City V MT,Honda,2013,425000,86300,Petrol
44,Swift Dzire VXi AT,Maruti,2018,675000,23300,Petrol
45,Vitara Brezza VDi,Maruti,2018,819999,32600,Diesel
46,Alto K10 VXI,Maruti,2018,390000,10300,Petrol
47,Fortuner 4x4 MT,Toyota,2014,1500000,77000,Diesel
48,Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2013,700000,99000,Diesel
49,B Class B180,Mercedes-Benz,2014,1450000,27800,Diesel
50,Amaze S Diesel,Honda,2015,425000,49800,Diesel
51,Pajero Sport 4X4,Mitsubishi,2013,1090000,151000,Diesel
52,City i DTEC S,Honda,2015,600000,54700,Diesel
53,Ciaz Zeta,Maruti,2018,850000,64000,Petrol
54,Jazz VX Diesel,Honda,2015,525000,63000,Diesel
55,Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1650000,127700,Diesel
56,Innova 2.5 G (Diesel) 7 Seater,Toyota,2016,950000,99000,Diesel
57,A6 2.0 TDI Technology,Audi,2013,1750000,33900,Diesel
58,Corolla Altis 1.8 VL CVT,Toyota,2018,1590000,25000,Petrol
59,A6 2.0 TDI  Design Edition,Audi,2013,1689999,50000,Diesel
60,New C-Class 220 CDI AT,Mercedes-Benz,2013,1425000,59000,Diesel
61,Manza ELAN Quadrajet BS IV,Tata,2011,265000,120000,Diesel
62,i10 Magna,Hyundai,2011,190000,110000,Petrol
63,i20 Asta 1.4 CRDi,Hyundai,2013,425000,60000,Diesel
64,Swift Dzire ZDI,Maruti,2015,630000,147000,Diesel
65,Figo 1.2P Titanium MT,Ford,2017,600000,25000,Petrol
66,Baleno Delta 1.2,Maruti,2019,650000,30000,Petrol
67,Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,2016,540000,40000,Diesel
68,City i DTEC VX,Honda,2015,630000,135000,Diesel
69,Wagon R AMT VXI,Maruti,2018,448000,30000,Petrol
70,Ameo 1.5 TDI Comfortline,Volkswagen,2017,500000,80000,Diesel
71,Vitara Brezza VDi,Maruti,2016,745000,70000,Diesel
72,Vitara Brezza ZDi Plus AMT,Maruti,2019,1025000,9850,Diesel
73,i10 Magna,Hyundai,2011,235000,60000,Petrol
74,Swift VDI Deca,Maruti,2016,630000,70000,Diesel
75,Fortuner 4x4 MT,Toyota,2015,1700000,78000,Diesel
76,Swift Star VDI,Maruti,2013,450000,120000,Diesel
77,Ertiga ZXI,Maruti,2012,450000,120000,Petrol
78,Indica DLS,Tata,2003,50000,70000,Diesel
79,Vento Diesel Highline,Volkswagen,2013,450000,170000,Diesel
80,Innova 2.5 VX (Diesel) 8 Seater,Toyota,2016,1200000,140000,Diesel
81,EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,2015,610000,90000,Diesel
82,X1 sDrive20i xLine,BMW,2016,2500000,30000,Petrol
83,Celerio ZXI MT BSIV,Maruti,2017,484999,10000,Petrol
84,GO A Petrol,Datsun,2016,275000,49000,Petrol
85,Alto 800 VXI BSIV,Maruti,2016,315000,32000,Petrol
86,Alto 800 LXI BSIV,Maruti,2016,275000,38000,Petrol
87,Swift VDI BSIV W ABS,Maruti,2015,475000,78000,Diesel
88,i10 Era 1.1,Hyundai,2012,290000,28000,Petrol
89,Omni 8 Seater BSIV,Maruti,2017,280000,32000,Petrol
